idx,Maladie,Symptomes,raisons,Tests et procédures,Médicaments courants
10,Sténose pylorique,"['Vomissements', 'Sharp abdominal pain', 'Infant crachant', 'Vomissements de sang', 'Toux', 'Symptômes de l'enfant', 'Regiration', 'Soufflement abdominal pain', 'Restescents', 'Paine pendant la grossesse', 'Symptômes de l'enfant', 'Wheezing']","La sténose pylorique (ou sténose pylorique hypertrophique infantile ou pylorosténose) est une condition qui provoque de graves vomissements non-biologiques projectiles au cours des premiers mois de vie. Il y a rétrécissement (sténose) de l'ouverture de l'estomac à la première partie de l'intestin grêle connue sous le nom de duodénum, en raison de l'élargissement (hypertrophie) du muscle entourant cette ouverture (le pylorus, qui signifie ""porte""), qui spasme lorsque l'estomac se vide. Cette hypertrophie est ressentie classiquement comme une masse en forme d'olive dans la partie supérieure moyenne ou droite du quadrant supérieur de l'abdomen du nourrisson. En sténose pylorique, on ne sait pas s'il y a un rétrécissement congénital réel ou s'il y a une hypertrophie fonctionnelle du muscle sphincter pylorique.","['Procédure d'imagerie radiographique', 'Tests hématologiques (Test de Blood)', 'Complètement de la numération sanguine (Cbc)', 'Remplacement de liquide intraveineux', 'Electrolytes panel', 'Mesure du glucose (Niveau de glucose)', 'Tests de fonction de Kidney (Test de fonction de Kidney)']","['Nizatidine (Axid)', 'Siméthicone (Degas)', 'Lactulose', 'Silver Sulfadiazine Topical', 'Niacin', 'Nystatine Topical Product', 'Mecamylamine', 'Grepafloxacine (Raxar)', 'Malathion Topical', 'Gemtuzumab (Mylotarg)']"
11,Troubles de la glande salivaire,"['Gorge douloureuse', 'Œdème périphérique', 'Massité du cou', 'Malheur à l'oreille', 'Nœuds lymphatiques loupés', 'Gorge sensible', 'Malheur faciale', 'Gonflement de la peau', 'Gonflement de la mâchoire', 'Toux', 'Mouth sécheresse', 'Gonflement du cou']","Les glandes salivaires chez les mammifères sont les glandes exocrines, les glandes avec canaux, qui produisent de la salive. Ils sécrètent également l'amylase, une enzyme qui décompose l'amidon en maltose. Dans d'autres organismes comme les insectes, les glandes salivaires sont souvent utilisées pour produire des protéines biologiquement importantes comme la soie ou les colles, et les glandes salivaires volantes contiennent des chromosomes polytènes qui ont été utiles dans la recherche génétique.","[«Examen physique complet de la peau effectué (LM), «Autres procédures diagnostiques (entrevue; évaluation; consultation)», «Biopsy», «Excision (Exemption)», «Procédures diagnostiques sur le nez; bouche et pharynx», «Mesure de l'hémoglobine A1c (Test de l'hémoglobine A1c)», «Exercices de thérapie physique (Exercises)»]","['Meloxicam', 'Pramipexole (Mirapex)', 'Dicyclomine', 'Saliva Substituts', 'Mequinol-Tretinoin Topical', 'Bleomycine', 'Desflurane', 'Entacapone (Comtan)', 'Biotin', 'Rocuronium', 'Cefadroxil']"
12,Ostéochondrises,"[« Douleurs de genou », « Douleurs de pied ou d'orteil », « Douleurs de ventre ou de poing », « Douleurs de genou », « Les seins sont douloureux », « faiblesse de genou », « Douleurs de main ou de doigt », « Douleurs de ventre », « Gonflement de genou », « Mâles de peau », « Grume de genou ou masse », « Gain de poids »]","L'ostéochondrose est une famille de maladies orthopédiques de l'articulation qui se produisent chez les enfants et les adolescents et chez les animaux en croissance rapide, en particulier les porcs, les chevaux et les chiens. Ils sont caractérisés par l'interruption de l'approvisionnement en sang d'un os, en particulier à l'épiphyse, suivie d'une nécrose osseuse localisée, et plus tard, de la repousse de l'os. Ce trouble est défini comme une perturbation focale de l'ossification endochondriale et est considéré comme ayant une étiologie multifactorielle, de sorte que rien ne tient compte de tous les aspects de cette maladie.","['Plain x-ray (rayon X)', 'Procédure d'imagerie radiographique', 'Exercises de thérapie physique (exercices)', 'Examination du pied', 'Autres procédures de diagnostic (entrevue; évaluation; consultation)', 'Application de l'attelle (extinction)', 'Exercises de thérapie physique; manipulation; et autres procédures']","['Acebutolol', 'Toxine botulinique de type A (Botox)']"
13,Blessure au genou,"['Gonflement du genou', 'Gonflement du genou', 'Gonflement du genou', 'Problèmes avec mouvement', 'Rigidité du genou', 'Gonflement du genou', 'Faiblesse du genou', 'Gonflement du pied ou des orteils', 'Heartburn', 'Problèmes du tabac']",Blessures au genou ou à l'articulation du genou.,"[«Procédure d'imagerie par radiographie», «rayon X delain» (rayon X), «imagerie par résonance magnétique (Mri)», «Application de l'attelle (Splinting)», «Exercises de thérapie physique (Exercises)», «Autres procédures thérapeutiques», «Autres procédures thérapeutiques non-OR sur le système musculo-squelettique»]","['Chondroïtine-Glucosamine', 'Cortisone', 'Piroxicam', 'Nabumetone', 'Pentazocine (Talwin)', 'Alendronate-Cholecalciferol', 'Moexipril', 'Desflurane']"
14,Troubles métaboliques,"[« gain de poids », « jaunisse », « sécheresse musculaire », « douleurs musculaires », « problèmes de tabagisme », « problème d'alimentation infantile », « perte de poids récente », « problèmes de forme ou de taille du sein », « raideur des bras ou étanchéité », « sous-poids », « difficultés à manger », « flux menstruel léger »]","Les erreurs métaboliques innées comprennent une grande classe de maladies génétiques impliquant des troubles métaboliques. La majorité sont dues à des défauts de gènes uniques qui codent pour les enzymes qui facilitent la conversion de diverses substances (substrats) en d'autres (produits). Dans la plupart des troubles, des problèmes surviennent en raison de l'accumulation de substances qui sont toxiques ou interfèrent avec la fonction normale, ou aux effets de la capacité réduite de synthétiser des composés essentiels.","['Tests hématologiques (Test de sang)', 'Plaque lipide', 'Mesure du glucose (Niveau de glucose)', 'Mesure de l'hémoglobine A1c (Test de l'hémoglobine A1c)', 'Examen physique complet de la peau effectué (ML)', 'Ultrasonographie (Ultrasound)', 'Mammographie (Mammographie)']","['Ursodiol (Urso)', 'Exénatide (Byetta)', 'Alglucosidase Alfa (Myozyme)', 'Levocarnitine', 'Acide fénofibrique (Trilipix)', 'Raltégravir (Isentress)', 'Citrate de potassium']"
15,Vaginite,"['Décharge vaginale', 'Démangeaisons vaginales', 'Sharp abdominal pain', 'Painful miction', 'Malheur vaginale', 'Malheur abdominale basse', 'Malheur pelvienne', 'Redresse vaginale', 'Suprapubic pain', 'Paine pendant la grossesse', 'Vilvar irritation', 'Paine pendant les rapports sexuels']","La vaginite est une inflammation du vagin. Elle peut entraîner des pertes, des démangeaisons et des douleurs, et elle est souvent associée à une irritation ou une infection de la vulve. Elle est généralement due à une infection. Les trois principaux types de vaginite sont la vaginose bactérienne (VB), la candidose vaginale et la trichomoniase. Une femme peut avoir n'importe quelle combinaison d'infections vaginales à un moment donné. Les symptômes qui surgissent varient avec l'infection, bien qu'il y ait des symptômes généraux que toutes les infections vaginites ont et les femmes infectées peuvent également être asymptomatiques.","['Examen du bassin', 'Urinalyse', 'Test de grossesse standard', 'Test de la chlamydia', 'Examination du sein', 'Examen microscopique (démangeaisons bactériennes; culture; toxicologie)', 'Démangeaisons mammaires']","['Metronidazole', 'Fluconazole (Diflucan)', 'Metronidazole Topical Product', 'Terconazole Topical', 'Miconazole Topical Product', 'Betaméthasone-Clotrimazole Topical', 'Clindamycine Topical Product', 'Tinidazole', 'Nystatine-triamcinolone Topical', 'Cefixime (Suprax)', 'Pentosan Polysulfate de sodium (Elmiron)', 'Acide borique Topical']"
16,Syndrome sinusal malade,"[« Vertiges », « Douleurs thoraciques aiguës », « Essoufflement », « Palpitations », « Faim », « Faiblesse », « battements cardiaques irréguliers », « Ralentissement cardiaque », « Ralentissement du rythme cardiaque », « Ralentissement du rythme cardiaque », « Saignement ou écoulement du mamelon »]","Le syndrome sinusal (SSS), également appelé dysfonctionnement du ganglion sinusal (SND), est un terme général pour un groupe de rythmes cardiaques anormaux (arythmies) probablement causés par un dysfonctionnement du ganglion sinusal, le pacemaker principal du coeur. Le syndrome de Bradycardia-tachycardie est une variante du syndrome sinusal malade dans lequel alternent les arythmies lentes et les arythmies rapides.","['Electrocardiogramme', 'Autres procédures diagnostiques (entrevue; évaluation; consultation)', 'Ultrasonographie (Ultrasound)', 'Echocardiographie', 'Plage lipide', 'Cathétérisme cardiaque diagnostique; artériographie coronaire', 'Criblage de dépression (Criblage de dépression)']","['Warfarin', 'Digoxin', 'Sotalol', 'Amiodarone', 'Torsemide', 'Vitamine E (Vita-E)', 'Bumetanide', 'Flecainide', 'Ibandronate (Boniva)', 'Dofétilide (Tikosyn)', 'Dopamine', 'Isosorbide Mononitrate (Ismo)']"
17,Acouphènes de cause inconnue,"['Ring in ear', 'Audience diminuée', 'Doublures', 'Symptômes de l'œil', 'Headache', 'Pluged feeling in ear', 'Itchy ear(s)', 'Céphalée faciale', 'Symptômes de l'œil', 'Voix haussière', 'Fluide de l'oreille', 'Rigure du cou ou étanchéité']","Est-ce que vous entendez souvent ou tout le temps ce son? Est-ce que le son vous dérange? Si vous répondez est oui, vous pourriez avoir des acouphènes. Des millions de personnes aux États-Unis ont des acouphènes. Les personnes avec des acouphènes sévères peuvent avoir du mal à entendre, à travailler ou même à dormir. Les causes des acouphènes comprennent la perte auditive, l'exposition à des bruits forts ou des médicaments que vous prenez pour un problème différent. L'acouphène peut également être un symptôme d'autres problèmes de santé, tels que les allergies, l'hypertension ou la basse pression sanguine, les tumeurs et les problèmes dans le cœur, les vaisseaux sanguins, la mâchoire et le cou. Le traitement dépend de la cause.","[«Diagnostic et traitement otologique et otologique», «imagerie par résonance magnétique (Mri)», «Autres procédures auriculaires thérapeutiques», «Autres thérapies physiques et réadaptation», «Procédures diagnostiques auriculaires», «Procédures diagnostiques au nez, à la bouche et au pharynx», «Autres procédures au système nerveux thérapeutique OU»]","['Azelastine Nasal', 'Salmeterol', 'Levocetirizine (Xyzal)', 'Ginkgo Biloba Extract (Ginkgo)', 'Iodoquinol', 'Benzalkonium Chloride Topical', 'Aluminum Sulfate-Calcium Acetate Topical', 'Magnesium Chloride', 'Dexamethasone Ophtalmic', 'Ciclesonide Nasal', 'Almotriptan (Axert)']"
18,Glaucome,"['Vision diminuée', 'Paine dans les yeux', 'Symptômes de l'œil', 'Spots ou nuages dans la vision', 'Eye redness', 'Lacrimation', 'Itchiness of eye', 'Blindness', 'Eye brûle ou pique', 'Foreign body sensation in eye', 'Itchy paupiere', 'Sentiment de froid']","Le glaucome est un terme décrivant un groupe de troubles oculaires avec une étiologie multifactorielle unie par une neuropathie optique intraoculaire cliniquement caractéristique qui peut endommager de façon permanente la vision dans les yeux touchés et conduire à la cécité s'il n'est pas traité. Il est normalement associé à une augmentation de la pression hydrique dans les yeux (humour aqueux). Le terme « hypertension oculaire » est utilisé pour les personnes avec une pression intraoculaire constamment augmentée (POI) sans aucune lésion du nerf optique associée. Inversement, le terme \' tension normale\' ou \' basse tension\' glaucome est utilisé pour les personnes avec une lésion du nerf optique et une perte de champ visuel associée, mais normale ou faible PIO.","['Examen et évaluation ophtalmiques (examen Eye)', 'Diagnostic et traitement otologiques et otologiques', 'Autres procédures thérapeutiques sur paupières; conjonctive; cornée', 'Lens et procédures de cataracte', 'Procédures diagnostiques sur paupières', 'Procédures Glaucome', 'Autres procédures thérapeutiques intraoculaires']","['Latanoprost', 'Bimatoprost Ophtalmic', 'Brimonidine Ophtalmic', 'Timolol', 'Travoprost (Travatan)', 'Prednisolone Ophtalmic', 'Brimonidine-Timolol Ophtalmic', 'Dorzolamide Ophtalmic', 'Brinzolamide Ophtalmic', 'Tropicamide Ophtalmic', 'Apraclonidine Ophtalmic', 'Acétazolamide (Diamox)']"
19,Troubles de l'alimentation,"[Dépression, anxiété et nervosité, symptômes dépressifs ou psychotiques, diminution de l'appétit, abus d'alcool, excès d'appétit, difficultés à manger, gain de poids, colère excessive, insomnie, vomissement du sang, acné ou boutons]","Les troubles de l'alimentation sont des conditions définies par des habitudes alimentaires anormales qui peuvent impliquer une consommation alimentaire insuffisante ou excessive au détriment de la santé physique et mentale d'un individu. Bulimia nervosa et anorexia nervosa sont les formes spécifiques les plus courantes au Royaume-Uni. D'autres types de troubles de l'alimentation sont le trouble de l'alimentation binge et le trouble de l'alimentation non spécifié ailleurs. Bulimia nervosa est un trouble caractérisé par l'alimentation binge et la purge. Le purging peut inclure des vomissements auto-induits, le sur-exercice, et l'utilisation de diurétiques clés, les enémèmes et les laxatifs. L'anorexia nervosa est caractérisée par une restriction alimentaire extrême au point d'auto-manger et une perte de poids excessive.","['Psychothérapie', 'Conseils de santé mentale', 'Criblage de dépression', 'Évaluation et thérapie psychologiques et psychiatriques', 'Évaluation de la thérapie professionnelle (Traitement de la parole)']","['Fluoxetine (Prozac)', 'Trazodone', 'Quetiapine (Seroquel)', 'Lamotrigine (Lamictal)', 'Topiramate (Topamax)', 'Venlafaxine (Effexor)', 'Aripiprazole (Abilify)', 'Minocycline', 'Benzoyl Peroxide Topal', 'Tranylcypromine (Parnate)', 'Phenelzine (Nardil)', 'Chlorpromazine (Thorazine)']"
20,Attaque ischémique transitoire,"['Perte de sensation', 'Grossissement', 'Headache', 'Faiblesse', 'Faiblesse focale', 'Mots sales', 'Difficulté à parler', 'Symptômes du visage', 'Symptômes dépressifs ou psychotiques', 'Vision diminuée', 'Disturbance de la mémoire', 'Paresthésie']","Une crise ischémique transitoire (AIT) est un épisode transitoire de dysfonctionnement neurologique causé par l'ischémie (perte du flux sanguin) \xe2\x80\x93 soit au niveau du cerveau focal, de la moelle épinière ou de la rétine \xe2\x80\x93 sans infarctus aigu (mort tissulaire).","['Procédure d'imagerie radiographique', 'Tests hématologiques (Test de sang)', 'Complètement de la numération sanguine (Cbc)', 'Tomographie calculée par rayons X (Scan ct)', 'Electrocardiogramme', 'Tests de fonction Kidney (Test de fonction Kidney)', 'Mesure du glucose (Niveau de glucose)']","['Clopidogrel (Plavix)', 'Deferasirox (Exjade)', 'Béthanechol', 'Dipyridamole', 'Gadopentetate Dimeglumine (Magnevist)', 'Bivalirudin']"
21,Pyélonéphrite,"['Side pain', 'Fever', 'Sharp abdominal pain', 'Back pain', 'Vomiting', 'Nausea', 'Painful miction', 'Low back pain', 'Lower abdominal pain', 'Blood in urining', 'Suprapunic pain', 'Frequent miction']","Pyélonéphrite (du grec \xcf\x80\xce\xce\xbb\xce\xb7\xce\xbe \xe2\x80\x93 pyelum, qui signifie « pelvis rénal », \xce\xbd\xce\xb5\xcf\x86\xcf\x81\xcf\x8c\xcf\x82 \xe2\x80\x93 néphros, qui signifie « chateau », et -itis, qui signifie « inflammation ») est une infection des voies urinaires ascendantes qui a atteint le pyléum ou le bassin du rein. C'est une forme de néphrite qui est également appelée pyélite.","['Urinalyse', 'Tests hématologiques (Test de sang)', 'Complètement de la numération sanguine (Cbc)', 'Remplacement de liquide intraveineux', 'Procédure d'imagerie radiographique', 'Tests de la fonction Kidney (Test de la fonction Kidney)', 'Mesure du glucose (Niveau de glucose)']","['Ciprofloxacine', 'Levofloxacine (Levaquin)', 'Ceftriaxone', 'Phenazopyridine (Azo)', 'Cefotaxime', 'Cefixime (Suprax)', 'Doripenem', 'Dihydrocodeine (Didone)', 'Auranofin', 'Somatrem (Protropine)', 'Ganciclovir', 'Clotrimazole']"
22,Blessure du poignet du rotateur,"['Shouder pain', 'Shouder pain', 'Shouder raidness or pressness', 'Shouder baskness', 'Shouder crampes ou spasmes', 'Shouder raidness or pressness', 'Sweat raidness or pressness', 'Hand or finger raidness or pressness', 'Shouder gonfling', 'Tongue lies', 'Leg crampes or spasms', 'Abnormal appearing language']",Une déchirure du poignet du rotateur est une déchirure d'un ou de plusieurs tendons des quatre muscles du poignet du rotateur. Une lésion du poignet du rotateur peut inclure tout type d'irritation ou de dommages aux muscles du poignet du rotateur ou des tendons.,"['Procédure d'imagerie radiographique', 'rayon X delain (rayon X)', 'exercices de thérapie physique (exercices)', 'imagerie par résonance magnétique (Mri)', 'Application de l'attelle (Splinting)', 'Autres procédures thérapeutiques sur les muscles et les tendons', 'Autres procédures thérapeutiques non-OR sur le système musculo-squelettique']","['Triamcinolone Topical Product', 'Bupivacaine', 'Rocuronium', 'Cortisone', 'Sevoflurane', 'Mepivacaine (Carbocaine)', 'Desflurane', 'Diclofenac Topical Product', 'Nitrous Oxide', 'Rapacuronium']"
